,,,-46.51999846E-3,162.00000000,,,,,-46.51999846E-3,-4.00000000,
,,,-46.48000002E-3,166.00000000,,,,,-46.48000002E-3,-2.0000000,
,,,-46.43999785E-3,166.00000000,,,,,-46.43999785E-3,-2.0000000,
,,,-46.39999941E-3,168.00000000,,,,,-46.39999941E-3,-4.00000000,
,,,-46.35999724E-3,168.00000000,,,,,-46.35999724E-3,-4.00000000,
,,,-46.31999880E-3,166.00000000,,,,,-46.31999880E-3,-2.0000000,
,,,-46.28000036E-3,166.00000000,,,,,-46.28000036E-3,-4.00000000,
,,,-46.23999819E-3,168.00000000,,,,,-46.23999819E-3,-4.00000000,
,,,-46.19999975E-3,170.00000000,,,,,-46.19999975E-3,-4.00000000,
,,,-46.15999758E-3,174.00000000,,,,,-46.15999758E-3,-4.00000000,
,,,-46.11999914E-3,176.00000000,,,,,-46.11999914E-3,-4.00000000,
,,,-46.08000070E-3,176.00000000,,,,,-46.08000070E-3,-4.00000000,
,,,-46.03999853E-3,176.00000000,,,,,-46.03999853E-3,-4.00000000,
,,,-46.00000009E-3,176.00000000,,,,,-46.00000009E-3,-2.0000000,
,,,-45.95999792E-3,176.00000000,,,,,-45.95999792E-3,-4.00000000,
,,,-45.91999948E-3,176.00000000,,,,,-45.91999948E-3,-4.00000000,
,,,-45.87999731E-3,176.00000000,,,,,-45.87999731E-3,-2.0000000,
,,,-45.83999887E-3,178.00000000,,,,,-45.83999887E-3,-4.00000000,
,,,-45.80000043E-3,178.00000000,,,,,-45.80000043E-3,-4.00000000,
,,,-45.75999826E-3,178.00000000,,,,,-45.75999826E-3,-2.0000000,
,,,-45.71999982E-3,180.00000000,,,,,-45.71999982E-3,-4.00000000,
,,,-45.67999765E-3,180.00000000,,,,,-45.67999765E-3,-4.00000000,
,,,-45.63999921E-3,182.00000000,,,,,-45.63999921E-3,-4.00000000,
,,,-45.59999704E-3,184.00000000,,,,,-45.59999704E-3,-4.00000000,
,,,-45.55999860E-3,184.00000000,,,,,-45.55999860E-3,-4.00000000,
,,,-45.52000016E-3,182.00000000,,,,,-45.52000016E-3,-4.00000000,
,,,-45.47999799E-3,182.00000000,,,,,-45.47999799E-3,-4.00000000,
,,,-45.43999955E-3,184.00000000,,,,,-45.43999955E-3,-4.00000000,
,,,-45.39999738E-3,184.00000000,,,,,-45.39999738E-3,-4.00000000,
